Civilian_Casualties,Count_of_Persons_Rescued,Estimated_Dollar_Loss,Estimated_Number_Of_Persons_Displaced,Fire_Alarm_System_Impact_on_Evacuation,Fire_Alarm_System_Operation,Fire_Alarm_System_Presence,Fire_Under_Control_Time,Ignition_Source,Last_TFS_Unit_Clear_Time,Latitude,Longitude,Possible_Cause,Property_Use,TFS_Alarm_Time,TFS_Arrival_Time
2,2,2000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-11-27T00:27:17,"Stove, Range-top burner",2011-11-27T00:52:42,43.65398,-79.46724,Unattended,Multi-Unit Dwelling - Over 12 Units,2011-11-27T00:15:50,2011-11-27T00:21:50
2,2,50,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2011-12-09T18:42:00,"Stove, Range-top burner",2011-12-09T19:24:11,43.68598,-79.3563,Unattended,Multi-Unit Dwelling - Over 12 Units,2011-12-09T18:35:12,2011-12-09T18:39:46
1,2,200000,5,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2013-03-16T19:33:20,"Other Cooking Items (eg Toaster, Kettle, elec frying pan)",2013-03-16T22:01:04,43.6455,-79.45317,Electrical Failure,Multi-Unit Dwelling - 2 to 6 Units,2013-03-16T19:08:26,2013-03-16T19:13:03
0,2,50000,4,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2017-06-12T00:10:31,"Hot Ashes, Embers, Spark",2017-06-12T01:36:15,43.70754,-79.48244,Exposure fire,Multi-Unit Dwelling - Over 12 Units,2017-06-11T22:50:33,2017-06-11T22:53:55
0,2,150000,27,Undetermined,Fire alarm system operation undetermined,Fire alarm system present,2016-02-02T10:37:00,Undetermined,2016-02-02T16:25:02,43.63718,-79.43604,Undetermined,Multi-Unit Dwelling - Over 12 Units,2016-02-02T10:22:59,2016-02-02T10:30:35
2,2,18000,3,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2015-01-29T09:54:24,Oven,2015-01-29T10:55:46,43.6958,-79.55216,Unattended,Multi-Unit Dwelling - Over 12 Units,2015-01-29T09:38:56,2015-01-29T09:45:13
0,2,70000,5,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2013-06-20T21:09:25,Other Electrical Distribution Item,2013-06-21T10:20:31,43.69599,-79.27889,Electrical Failure,Detached Dwelling,2013-06-20T20:48:39,2013-06-20T20:53:03
2,2,10000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2017-07-16T21:34:11,"Stove, Range-top burner",2017-07-16T22:13:31,43.78159,-79.43538,"Other unintentional cause, not classified",Detached Dwelling,2017-07-16T21:25:04,2017-07-16T21:30:01
1,2,1000,1,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2012-04-08T22:50:34,Candle,2012-04-08T23:33:53,43.72346,-79.40184,"Other unintentional cause, not classified",Multi-Unit Dwelling - Over 12 Units,2012-04-08T22:44:06,2012-04-08T22:46:36
0,1,200,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-02-20T23:20:20,"Stove, Range-top burner",2018-02-21T02:53:16,43.67555272,-79.39694142,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2018-02-20T23:07:19,2018-02-20T23:11:31
1,1,40000,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-04-17T02:34:25,Circuit Wiring - Copper,2018-04-17T16:34:13,43.74823355,-79.54160883,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2018-04-17T02:12:28,2018-04-17T02:16:47
1,1,300000,4,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2018-04-14T02:12:22,Other Appliances,2018-04-14T17:27:02,43.77594207,-79.29492069,Electrical Failure,Detached Dwelling,2018-04-14T00:55:15,2018-04-14T01:01:19
1,1,40000,1,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-04-28T08:54:20,"Stove, Range-top burner",2018-04-28T10:17:12,43.69597341,-79.39992355,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-04-28T08:39:20,2018-04-28T08:44:16
1,1,50000,2,Undetermined,Fire alarm system operated,Fire alarm system present,2018-10-01T18:24:09,"Stove, Range-top burner",2018-10-01T19:38:48,43.68948939,-79.50506282,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-10-01T18:09:17,2018-10-01T18:14:41
0,1,1250000,0,Undetermined,Fire alarm system operation undetermined,Undetermined,2018-10-31T05:34:00,Undetermined,2018-10-31T19:32:53,43.60756719,-79.54037158,Undetermined,Detached Dwelling,2018-10-31T03:20:04,2018-10-31T03:26:02
2,1,15000,1,Undetermined,Fire alarm system operation undetermined,Undetermined,2018-12-10T15:13:09,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-12-10T20:27:06,43.66572255,-79.38095933,Improperly Discarded,"Apartment, Flat, Tenement with Business",2018-12-10T15:01:21,2018-12-10T15:05:05
0,1,100,0,Not applicable: Occupant(s) first alerted by other means,Not applicable (no system),No Fire alarm system,2019-01-21T16:30:00,Undetermined,2019-01-21T17:33:21,43.61617394,-79.4983675,Suspected Arson,Railway Station,2019-01-21T16:04:30,2019-01-21T16:08:51
1,1,25000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2019-02-04T15:55:00,Undetermined,2019-02-04T23:37:27,43.73998098,-79.22792794,Undetermined,Multi-Unit Dwelling - Over 12 Units,2019-02-04T15:43:37,2019-02-04T15:48:19
1,1,7500,3,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-02-17T14:12:03,"Extension Cord, Temporary Wiring",2019-02-17T15:35:46,43.65922466,-79.38145787,Electrical Failure,Multi-Unit Dwelling - Over 12 Units,2019-02-17T13:55:34,2019-02-17T13:57:25
3,1,125000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-03-08T22:18:00,Undetermined,2019-03-08T23:46:39,43.67893915,-79.56173303,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,2019-03-08T22:03:30,2019-03-08T22:08:16
1,1,15000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-06-16T11:42:23,Undetermined,2019-06-16T12:25:32,43.69873062,-79.55223189,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,2019-06-16T11:32:38,2019-06-16T11:37:12
1,1,20000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2019-06-29T11:08:00,Other Electrical,2019-06-29T16:04:16,43.759999,-79.55805779,"Other unintentional cause, not classified",Motor Vehicle Repair Garage,2019-06-29T10:59:25,2019-06-29T11:03:06
0,1,5000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-05-11T04:48:21,"Stove, Range-top burner",2019-05-11T05:48:11,43.71260605,-79.39177927,Unattended,Multi-Unit Dwelling - Over 12 Units,2019-05-11T04:19:37,2019-05-11T04:25:02
0,1,15000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-05-18T06:48:19,"Stove, Range-top burner",2019-05-18T07:53:02,43.70916917,-79.40106165,Unattended,Multi-Unit Dwelling - Over 12 Units,2019-05-18T06:25:18,2019-05-18T06:29:44
1,1,50000,2,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2019-04-28T18:24:12,"Stove, Range-top burner",2019-04-28T23:39:51,43.65848975,-79.47381142,Unattended,Multi-Unit Dwelling - 2 to 6 Units,2019-04-28T18:15:31,2019-04-28T18:19:40
1,1,15000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2019-04-08T18:22:36,Other Electrical Distribution Item,2019-04-08T18:53:19,43.65432196,-79.37876958,Electrical Failure,"Gifts, jewellery, leather goods, mixed goods",2019-04-08T18:04:24,2019-04-08T18:09:11
1,1,75000,6,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2019-02-18T12:47:17,"Stove, Range-top burner",2019-02-18T21:24:33,43.68244107,-79.30892092,Unattended,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2019-02-18T12:28:41,2019-02-18T12:33:39
1,1,60000,1,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-12-17T02:45:04,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-12-17T04:48:57,43.69443699,-79.45589435,Improperly Discarded,Detached Dwelling,2018-12-17T02:15:05,2018-12-17T02:20:09
1,1,5000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-11-22T07:31:23,"Blow Torch, Bunsen Burner",2018-11-22T15:07:17,43.65520301,-79.44634474,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2018-11-22T07:22:45,2018-11-22T07:27:25
1,1,1000,1,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-11-25T07:56:51,Undetermined,2018-11-25T08:48:59,43.68767537,-79.30159899,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,2018-11-25T07:33:45,2018-11-25T07:38:06
1,1,15000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-12-01T02:22:34,"Stove, Range-top burner",2018-12-01T05:59:51,43.65705388,-79.44893428,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-12-01T02:10:55,2018-12-01T02:15:40
1,1,1200,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-12-02T05:05:00,"Stove, Range-top burner",2018-12-02T08:54:00,43.64102596,-79.43451699,Under Investigation,Retirement Home,2018-12-02T05:00:58,2018-12-02T05:04:47
1,1,100000,0,Undetermined,Fire alarm system operated,Fire alarm system present,2018-10-29T02:40:40,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-10-29T17:51:44,43.77658516,-79.41475432,Improperly Discarded,Multi-Unit Dwelling - 7 to 12 Units,2018-10-29T02:00:46,2018-10-29T02:06:29
1,1,300,1,Fire Alarm system operated but failed to alert occupant(s),Fire alarm system operated,Fire alarm system present,2018-12-10T20:38:00,"Stove, Range-top burner",2018-12-10T21:24:42,43.63589864,-79.43831669,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-12-10T20:31:00,2018-12-10T20:34:51
0,1,400,1,Undetermined,Fire alarm system operated,Fire alarm system present,2018-09-20T21:47:06,"Stove, Range-top burner",2018-09-20T22:57:49,43.66246733,-79.35136106,Unattended,Halfway/Transitional House,2018-09-20T21:25:47,2018-09-20T21:29:47
0,1,200,1,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-09-04T20:41:08,"Stove, Range-top burner",2018-09-04T21:47:24,43.77954463,-79.2329791,Undetermined,Multi-Unit Dwelling - Over 12 Units,2018-09-04T20:31:19,2018-09-04T20:36:21
1,1,500,0,Undetermined,Fire alarm system operation undetermined,Fire alarm system present,2018-08-03T10:30:00,"Chemical Reaction (eg. spontaneous combustion, etc.)",2018-08-03T18:35:22,43.64688206,-79.3537354,Improper handling of ignition source or ignited material,"Sto: Chemicals, inc hazardous chemicals",2018-08-03T09:14:58,2018-08-03T09:22:10
1,1,2000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operated,Fire alarm system present,2018-09-30T22:34:16,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-09-30T23:08:34,43.72541063,-79.40073161,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-09-30T22:20:54,2018-09-30T22:24:11
1,1,500,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-07-29T16:31:53,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-07-29T17:31:34,43.64075831,-79.41146951,Unattended,Halfway/Transitional House,2018-07-29T16:23:54,2018-07-29T16:27:41
1,1,500,0,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-08-06T02:13:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-08-06T06:04:38,43.66071283,-79.3720338,Other misuse of ignition source/material ignited,Multi-Unit Dwelling - 2 to 6 Units,2018-08-06T02:07:30,2018-08-06T02:12:11
1,1,12000,4,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),No Fire alarm system,2018-07-06T21:50:15,"Stove, Range-top burner",2018-07-06T22:56:18,43.75217535,-79.49490842,Unattended,Semi-Detached Dwelling,2018-07-06T21:36:30,2018-07-06T21:42:13
1,1,50000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-07-10T20:33:00,Oven,2018-07-10T22:06:42,43.69009271,-79.34536866,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-07-10T20:15:05,2018-07-10T20:17:58
1,1,300000,4,Undetermined,Not applicable (no system),Undetermined,2018-06-23T14:55:30,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-06-23T22:10:15,43.6543158,-79.39656565,Improperly Discarded,"Attached Dwelling (eg. rowhouse, townhouse, etc.)",2018-06-23T14:38:47,2018-06-23T14:42:58
0,1,50,0,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-05-16T14:38:52,Other,2018-05-16T15:44:15,43.63635457,-79.58027882,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-05-16T14:17:10,2018-05-16T14:22:54
1,1,10000,1,"Not applicable: No fire alarm system, no persons present",Not applicable (no system),Not applicable (bldg not classified by OBC OR detached/semi/town home),2018-06-12T22:52:29,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-06-13T14:31:01,43.76450158,-79.21172013,Improperly Discarded,Detached Dwelling,2018-06-12T22:40:21,2018-06-12T22:43:53
1,1,30000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-04-25T16:15:52,Other Electrical Distribution Item,2018-04-25T18:10:58,43.77588873,-79.3204081,Unattended,Multi-Unit Dwelling - Over 12 Units,2018-04-25T15:59:25,2018-04-25T16:04:03
3,1,20000,2,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-03-12T06:32:31,Undetermined,2018-03-12T15:22:42,43.7628871,-79.40846101,"Unintentional, cause undetermined",Multi-Unit Dwelling - Over 12 Units,2018-03-12T06:12:54,2018-03-12T06:19:15
0,1,10000,0,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-04-05T05:01:11,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-04-05T12:10:23,43.66709451,-79.37468392,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-04-05T04:48:22,2018-04-05T04:52:41
1,1,3000,1,No one (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-04-05T23:39:00,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-04-06T00:20:43,43.6582947,-79.37103207,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-04-05T23:31:46,2018-04-05T23:35:12
1,1,200000,2,Undetermined,Fire alarm system operated,Fire alarm system present,2018-06-17T11:17:44,Matches or Lighters (unable to distinguish),2018-06-17T19:57:46,43.74160883,-79.23261027,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,2018-06-17T10:59:25,2018-06-17T11:03:54
1,1,20000,1,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-04-12T18:13:30,Candle,2018-04-12T21:11:43,43.67093637,-79.3788754,Used or Placed too close to combustibles,Multi-Unit Dwelling - Over 12 Units,2018-04-12T17:29:47,2018-04-12T17:32:37
1,1,25000,5,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-04-18T03:56:12,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-04-18T12:13:46,43.68227683,-79.33271605,Improperly Discarded,Multi-Unit Dwelling - Over 12 Units,2018-04-18T03:34:54,2018-04-18T03:38:54
1,1,1000,1,Some persons (at risk) evacuated as a result of hearing fire alarm system,Fire alarm system did not operate,Fire alarm system present,2018-04-22T02:31:45,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2018-04-22T03:05:17,43.65722765,-79.4668502,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - Over 12 Units,2018-04-22T02:08:59,2018-04-22T02:13:58
1,1,50000,1,All persons (at risk of injury) evacuated as a result of hearing fire alarm system,Fire alarm system operated,Fire alarm system present,2018-01-10T07:26:53,Undetermined,2018-01-10T16:09:08,43.69039716,-79.46250619,Suspected Arson,Multi-Unit Dwelling - Over 12 Units,2018-01-10T07:12:00,2018-01-10T07:18:17
1,1,1000,0,Not applicable: Occupant(s) first alerted by other means,Fire alarm system operation undetermined,Fire alarm system present,2013-09-06T02:44:47,"Smoker's Articles (eg. cigarettes, cigars, pipes already ignited",2013-09-06T03:36:29,43.73635,-79.58105,Improper handling of ignition source or ignited material,Multi-Unit Dwelling - 7 to 12 Units,2013-09-06T02:32:41,2013-09-06T02:37:30
